name,source_table_name,dest_table_name,epsg,description,filetype,reftype,ref,state
tracts MS,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_28_tract.zip,synced
tracts MT,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_30_tract.zip,synced
tracts NC,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_37_tract.zip,synced
tracts ND,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_38_tract.zip,synced
tracts NE,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_31_tract.zip,synced
tracts NH,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_33_tract.zip,synced
tracts NJ,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_34_tract.zip,synced
tracts NM,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_35_tract.zip,synced
tracts NV,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_32_tract.zip,synced
tracts NY,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_36_tract.zip,synced
tracts OH,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_39_tract.zip,synced
tracts OK,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_40_tract.zip,synced
tracts OR,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_41_tract.zip,synced
tracts PA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_42_tract.zip,synced
tracts PR,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_72_tract.zip,synced
tracts RI,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_44_tract.zip,ingest
tracts SC,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_45_tract.zip,synced
tracts SD,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_46_tract.zip,synced
tracts TN,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_47_tract.zip,synced
tracts TX,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_48_tract.zip,synced
tracts UT,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_49_tract.zip,synced
tracts VA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_51_tract.zip,synced
tracts VT,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_50_tract.zip,synced
tracts WA,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_53_tract.zip,synced
tracts WI,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_55_tract.zip,synced
tracts WV,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_54_tract.zip,synced
tracts WY,tracts,tracts,4239,,shape,,ftp://ftp2.census.gov/geo/tiger/TIGER2015/TRACT/tl_2015_56_tract.zip,synced
